Time_off,ID_off,Time_on,ID_on
0.04281,-2.37378e-10,0.02827,-6.95724e-10
0.20029,-2.42736e-10,0.20061,-7.05072e-10
0.40033,-2.4392e-10,0.40066,-7.14458e-10
0.60029,-2.41711e-10,0.60061,-7.11733e-10
0.80028,-2.37031e-10,0.80061,-7.26043e-10
1.00029,-2.37335e-10,1.00061,-7.14407e-10
1.20028,-2.36869e-10,1.20066,-7.25436e-10
1.40029,-2.31282e-10,1.40061,-7.19959e-10
1.60028,-2.30167e-10,1.60061,-7.22101e-10
1.80033,-2.30764e-10,1.80061,-7.30249e-10
2.00033,-2.3934e-10,2.00061,-7.37669e-10
2.20034,-2.33061e-10,2.20061,-7.32092e-10
2.40029,-2.33306e-10,2.40066,-7.21908e-10
2.60034,-2.37372e-10,2.60061,-7.2462e-10
2.80029,-2.39151e-10,2.80061,-7.30034e-10
3.00029,-2.37964e-10,3.00061,-7.30531e-10
3.20028,-2.42158e-10,3.20061,-7.26595e-10
3.40029,-2.39624e-10,3.40061,-7.26994e-10
3.60029,-2.38088e-10,3.60061,-7.35181e-10
3.80029,-2.33884e-10,3.80061,-7.29533e-10
4.00029,-2.27094e-10,4.00066,-7.43274e-10
4.20033,-2.30609e-10,4.20061,-7.33156e-10
4.40029,-2.24673e-10,4.40061,-7.46146e-10
4.60029,-2.26832e-10,4.60061,-7.44284e-10
4.80029,-2.25733e-10,4.80061,-7.44848e-10
5.00029,-2.23098e-10,5.00061,-7.38702e-10
5.20033,-2.2352e-10,5.20061,-7.42282e-10
5.40029,-2.22116e-10,5.40066,-7.51501e-10
5.60028,-2.23466e-10,5.60066,-7.57428e-10
5.80029,-2.26509e-10,5.80061,-7.57729e-10
6.00029,-2.17449e-10,6.00061,-7.55062e-10
6.20029,-2.19598e-10,6.20061,-7.52989e-10
6.40029,-2.1858e-10,6.40061,-7.67312e-10
6.60029,-2.20319e-10,6.60061,-7.56229e-10
6.80029,-2.17313e-10,6.80066,-7.56479e-10
7.00033,-2.2321e-10,7.00061,-7.55376e-10
7.20029,-2.13446e-10,7.20066,-7.57705e-10
7.40028,-2.19212e-10,7.40061,-7.55925e-10
7.60033,-2.13007e-10,7.60061,-7.56828e-10
7.80028,-2.16648e-10,7.80061,-7.59294e-10
8.00029,-2.15221e-10,8.00061,-7.50343e-10
8.20028,-2.18105e-10,8.20061,-7.59107e-10
8.40033,-2.17378e-10,8.40061,-7.61356e-10
8.60029,-2.13085e-10,8.60062,-7.61145e-10
8.80029,-2.14095e-10,8.80066,-7.64423e-10
9.00029,-2.11614e-10,9.00061,-7.73146e-10
9.20029,-2.15101e-10,9.20066,-7.67771e-10
9.40029,-2.183e-10,9.40061,-7.72222e-10
9.60034,-2.10127e-10,9.60061,-7.70841e-10
9.80034,-2.17438e-10,9.80061,-7.70668e-10
10.00029,-2.20393e-10,10.00061,-7.68763e-10
10.20034,-2.17357e-10,10.20061,-7.67812e-10
10.40034,-2.21165e-10,10.40066,-7.57693e-10
10.60029,-2.0877e-10,10.60061,-7.64366e-10
10.80029,-2.10178e-10,10.80061,-7.6268e-10
11.00034,-2.11074e-10,11.00061,-7.61416e-10
11.20034,-2.14048e-10,11.20061,-7.64952e-10
11.40029,-2.12069e-10,11.40066,-7.62343e-10
11.60029,-2.09926e-10,11.60061,-7.63905e-10
11.80029,-2.05375e-10,11.80061,-7.78431e-10
12.00034,-2.01616e-10,12.00061,-7.80606e-10
