Time_off,ID_off,Time_on,ID_on
0.04281,-2.27077e-10,0.02827,-6.89669e-10
0.20029,-2.2646e-10,0.20061,-6.94302e-10
0.40033,-2.30037e-10,0.40066,-7.05032e-10
0.60029,-2.26967e-10,0.60061,-6.97831e-10
0.80028,-2.29694e-10,0.80061,-7.04826e-10
1.00029,-2.28166e-10,1.00061,-7.13816e-10
1.20028,-2.34445e-10,1.20066,-7.10593e-10
1.40029,-2.37289e-10,1.40061,-6.98443e-10
1.60028,-2.3031e-10,1.60061,-6.94919e-10
1.80033,-2.25323e-10,1.80061,-7.18623e-10
2.00033,-2.25125e-10,2.00061,-7.07725e-10
2.20034,-2.22837e-10,2.20061,-7.06253e-10
2.40029,-2.17681e-10,2.40066,-7.05616e-10
2.60034,-2.27138e-10,2.60061,-6.97134e-10
2.80029,-2.26627e-10,2.80061,-7.11653e-10
3.00029,-2.31313e-10,3.00061,-7.16918e-10
3.20028,-2.264e-10,3.20061,-7.19077e-10
3.40029,-2.27129e-10,3.40061,-7.25175e-10
3.60029,-2.21733e-10,3.60061,-7.15271e-10
3.80029,-2.27868e-10,3.80061,-7.18344e-10
4.00029,-2.21231e-10,4.00066,-7.36963e-10
4.20033,-2.24138e-10,4.20061,-7.26379e-10
4.40029,-2.23881e-10,4.40061,-7.39892e-10
4.60029,-2.18223e-10,4.60061,-7.56989e-10
4.80029,-2.17879e-10,4.80061,-7.48645e-10
5.00029,-2.16999e-10,5.00061,-7.56547e-10
5.20033,-2.22244e-10,5.20061,-7.45872e-10
5.40029,-2.15385e-10,5.40066,-7.45988e-10
5.60028,-2.07811e-10,5.60066,-7.50126e-10
5.80029,-2.07143e-10,5.80061,-7.30154e-10
6.00029,-2.09901e-10,6.00061,-7.30854e-10
6.20029,-2.22163e-10,6.20061,-7.46757e-10
6.40029,-2.21563e-10,6.40061,-7.55123e-10
6.60029,-2.14329e-10,6.60061,-7.47203e-10
6.80029,-2.16319e-10,6.80066,-7.56848e-10
7.00033,-2.14227e-10,7.00061,-7.56766e-10
7.20029,-2.12562e-10,7.20066,-7.60375e-10
7.40028,-2.09695e-10,7.40061,-7.5333e-10
7.60033,-2.06212e-10,7.60061,-7.54222e-10
7.80028,-2.10905e-10,7.80061,-7.61321e-10
8.00029,-2.12638e-10,8.00061,-7.67907e-10
8.20028,-2.08475e-10,8.20061,-7.6704e-10
8.40033,-2.08465e-10,8.40061,-7.58055e-10
8.60029,-2.09294e-10,8.60062,-7.51605e-10
8.80029,-2.0348e-10,8.80066,-7.56043e-10
9.00029,-2.04192e-10,9.00061,-7.65782e-10
9.20029,-2.06169e-10,9.20066,-7.6138e-10
