Time_off,ID_off,Time_on,ID_on
0.04281,-2.43575e-10,0.02827,-7.21682e-10
0.20029,-2.41296e-10,0.20061,-7.22316e-10
0.40033,-2.36457e-10,0.40066,-7.25573e-10
0.60029,-2.35959e-10,0.60061,-7.27945e-10
0.80028,-2.39314e-10,0.80061,-7.23877e-10
1.00029,-2.3157e-10,1.00061,-7.25588e-10
1.20028,-2.33916e-10,1.20066,-7.26734e-10
1.40029,-2.30384e-10,1.40061,-7.28515e-10
1.60028,-2.28349e-10,1.60061,-7.28803e-10
1.80033,-2.28432e-10,1.80061,-7.3426e-10
2.00033,-2.29256e-10,2.00061,-7.37413e-10
2.20034,-2.31057e-10,2.20061,-7.31275e-10
2.40029,-2.33334e-10,2.40066,-7.36762e-10
2.60034,-2.30613e-10,2.60061,-7.40214e-10
2.80029,-2.27771e-10,2.80061,-7.38948e-10
3.00029,-2.28518e-10,3.00061,-7.34577e-10
3.20028,-2.27191e-10,3.20061,-7.40756e-10
3.40029,-2.26614e-10,3.40061,-7.37613e-10
3.60029,-2.35495e-10,3.60061,-7.36817e-10
3.80029,-2.30313e-10,3.80061,-7.45536e-10
4.00029,-2.28497e-10,4.00066,-7.46483e-10
4.20033,-2.27518e-10,4.20061,-7.54896e-10
4.40029,-2.31935e-10,4.40061,-7.53252e-10
4.60029,-2.2467e-10,4.60061,-7.51527e-10
4.80029,-2.26384e-10,4.80061,-7.65377e-10
5.00029,-2.27044e-10,5.00061,-7.62113e-10
5.20033,-2.2209e-10,5.20061,-7.5943e-10
5.40029,-2.17694e-10,5.40066,-7.61797e-10
5.60028,-2.25436e-10,5.60066,-7.6671e-10
5.80029,-2.21635e-10,5.80061,-7.68257e-10
6.00029,-2.24239e-10,6.00061,-7.69596e-10
6.20029,-2.24723e-10,6.20061,-7.66196e-10
6.40029,-2.21911e-10,6.40061,-7.67889e-10
6.60029,-2.23223e-10,6.60061,-7.66005e-10
6.80029,-2.2254e-10,6.80066,-7.70809e-10
7.00033,-2.20135e-10,7.00061,-7.70514e-10
7.20029,-2.13274e-10,7.20066,-7.71354e-10
