Time_off,ID_off,Time_on,ID_on
0.04281,-1.93347e-10,0.02827,-6.71984e-10
0.20029,-1.90324e-10,0.20061,-6.72181e-10
0.40033,-1.8849e-10,0.40066,-6.73416e-10
0.60029,-1.90527e-10,0.60061,-6.76863e-10
0.80028,-1.87687e-10,0.80061,-6.82418e-10
1.00029,-1.91485e-10,1.00061,-6.80753e-10
1.20028,-1.86719e-10,1.20066,-6.81647e-10
1.40029,-1.89566e-10,1.40061,-6.80767e-10
1.60028,-1.90939e-10,1.60061,-6.81172e-10
1.80033,-1.92043e-10,1.80061,-6.83065e-10
2.00033,-1.93713e-10,2.00061,-6.85344e-10
2.20034,-1.92496e-10,2.20061,-6.85301e-10
2.40029,-1.92443e-10,2.40066,-6.90307e-10
2.60034,-1.91899e-10,2.60061,-6.89921e-10
2.80029,-1.93044e-10,2.80061,-6.95822e-10
3.00029,-1.90814e-10,3.00061,-6.95028e-10
3.20028,-1.90344e-10,3.20061,-6.98697e-10
3.40029,-1.90786e-10,3.40061,-6.97162e-10
3.60029,-1.90761e-10,3.60061,-7.00274e-10
3.80029,-1.8558e-10,3.80061,-6.99745e-10
4.00029,-1.84879e-10,4.00066,-7.03351e-10
4.20033,-1.87405e-10,4.20061,-7.02787e-10
4.40029,-1.7861e-10,4.40061,-7.1136e-10
4.60029,-1.79358e-10,4.60061,-7.15578e-10
4.80029,-1.76248e-10,4.80061,-7.15709e-10
5.00029,-1.76449e-10,5.00061,-7.17027e-10
5.20033,-1.75133e-10,5.20061,-7.18189e-10
5.40029,-1.7986e-10,5.40066,-7.21091e-10
5.60028,-1.80736e-10,5.60066,-7.20485e-10
5.80029,-1.74846e-10,5.80061,-7.23744e-10
6.00029,-1.74136e-10,6.00061,-7.2431e-10
6.20029,-1.7101e-10,6.20061,-7.23466e-10
6.40029,-1.71434e-10,6.40061,-7.20786e-10
6.60029,-1.72385e-10,6.60061,-7.26367e-10
6.80029,-1.70833e-10,6.80066,-7.28973e-10
7.00033,-1.71747e-10,7.00061,-7.29938e-10
7.20029,-1.71639e-10,7.20066,-7.3108e-10
7.40028,-1.72228e-10,7.40061,-7.3317e-10
7.60033,-1.7203e-10,7.60061,-7.31525e-10
7.80028,-1.69082e-10,7.80061,-7.3299e-10
8.00029,-1.66609e-10,8.00061,-7.28838e-10
8.20028,-1.67427e-10,8.20061,-7.30887e-10
8.40033,-1.65694e-10,8.40061,-7.28871e-10
8.60029,-1.68988e-10,8.60062,-7.2955e-10
8.80029,-1.69912e-10,8.80066,-7.3242e-10
9.00029,-1.69254e-10,9.00061,-7.37614e-10
9.20029,-1.71596e-10,9.20066,-7.37061e-10
9.40029,-1.70918e-10,9.40061,-7.35477e-10
9.60034,-1.67287e-10,9.60061,-7.33414e-10
9.80034,-1.62129e-10,9.80061,-7.38149e-10
10.00029,-1.6373e-10,10.00061,-7.38548e-10
10.20034,-1.65931e-10,10.20061,-7.39238e-10
10.40034,-1.63732e-10,10.40066,-7.42319e-10
10.60029,-1.62136e-10,10.60061,-7.39796e-10
10.80029,-1.61979e-10,10.80061,-7.40983e-10
11.00034,-1.61622e-10,11.00061,-7.36871e-10
11.20034,-1.59223e-10,11.20061,-7.39461e-10
11.40029,-1.58456e-10,11.40066,-7.44788e-10
11.60029,-1.59456e-10,11.60061,-7.44853e-10
11.80029,-1.63505e-10,11.80061,-7.45978e-10
12.00034,-1.56296e-10,12.00061,-7.45406e-10
12.20034,-1.58515e-10,12.20066,-7.41103e-10
12.40029,-1.5632e-10,12.40061,-7.45872e-10
12.60029,-1.59102e-10,12.60066,-7.49027e-10
12.80029,-1.53907e-10,12.80066,-7.47713e-10
13.00034,-1.57383e-10,13.00067,-7.45822e-10
13.20029,-1.60554e-10,13.20061,-7.47985e-10
13.40029,-1.57094e-10,13.40061,-7.48987e-10
13.60029,-1.55088e-10,13.60061,-7.4594e-10
13.80034,-1.54931e-10,13.80061,-7.49685e-10
14.00034,-1.5916e-10,14.00066,-7.53821e-10
14.20029,-1.57576e-10,14.20066,-7.49169e-10
14.40029,-1.61285e-10,14.40067,-7.50984e-10
14.60029,-1.52453e-10,14.60061,-7.51022e-10
14.80029,-1.54428e-10,14.80066,-7.52397e-10
15.00029,-1.54843e-10,15.00061,-7.48796e-10
15.20029,-1.55336e-10,15.20062,-7.46292e-10
15.40029,-1.56447e-10,15.40061,-7.45248e-10
15.60029,-1.48781e-10,15.60062,-7.47652e-10
15.80034,-1.51992e-10,15.80066,-7.45227e-10
16.00034,-1.55311e-10,16.00061,-7.45814e-10
16.20029,-1.50019e-10,16.20061,-7.47435e-10
16.40029,-1.5148e-10,16.40061,-7.45283e-10
16.60029,-1.50383e-10,16.60066,-7.47517e-10
16.80034,-1.47595e-10,16.80061,-7.52483e-10
17.00029,-1.45346e-10,17.00066,-7.46833e-10
17.20029,-1.48455e-10,17.20061,-7.46299e-10
17.40034,-1.51778e-10,17.40061,-7.50295e-10
17.60029,-1.4781e-10,17.60066,-7.49626e-10
17.80029,-1.46559e-10,17.80061,-7.53709e-10
18.00029,-1.45786e-10,18.00067,-7.51518e-10
18.20034,-1.4678e-10,18.20066,-7.55953e-10
18.40029,-1.44086e-10,18.40061,-7.55714e-10
18.60029,-1.43074e-10,18.60061,-7.54673e-10
18.80034,-1.47675e-10,18.80061,-7.52039e-10
19.00029,-1.49471e-10,19.00066,-7.52827e-10
19.20029,-1.55428e-10,19.20066,-7.50473e-10
19.40029,-1.4899e-10,19.40061,-7.47505e-10
19.60029,-1.50234e-10,19.60061,-7.47343e-10
19.80029,-1.49122e-10,19.80066,-7.49288e-10
20.00029,-1.48998e-10,20.00061,-7.51767e-10
20.20029,-1.5353e-10,20.20061,-7.5266e-10
20.40029,-1.5141e-10,20.40066,-7.49155e-10
20.60034,-1.49558e-10,20.60061,-7.51378e-10
20.80029,-1.46044e-10,20.80061,-7.48402e-10
21.00029,-1.4788e-10,21.00061,-7.49153e-10
21.20034,-1.50708e-10,21.20061,-7.50559e-10
21.40029,-1.54877e-10,21.40061,-7.51792e-10
21.60034,-1.52444e-10,21.60061,-7.50708e-10
21.80029,-1.50872e-10,21.80061,-7.48402e-10
22.00029,-1.51924e-10,22.00066,-7.5344e-10
22.20029,-1.50854e-10,22.20061,-7.51904e-10
22.40034,-1.51811e-10,22.40061,-7.49547e-10
22.60029,-1.48721e-10,22.60061,-7.52052e-10
22.80029,-1.46595e-10,22.80061,-7.54775e-10
23.00029,-1.48674e-10,23.00061,-7.54775e-10
23.20029,-1.49751e-10,23.20066,-7.57327e-10
23.40034,-1.48549e-10,23.40061,-7.53538e-10
23.60034,-1.46076e-10,23.60061,-7.50326e-10
23.80029,-1.49336e-10,23.80066,-7.51742e-10
24.00034,-1.51367e-10,24.00061,-7.58415e-10
24.20029,-1.50581e-10,24.20066,-7.58907e-10
24.40029,-1.48079e-10,24.40061,-7.516e-10
24.60029,-1.51235e-10,24.60066,-7.52545e-10
24.80034,-1.51823e-10,24.80061,-7.47822e-10
25.00029,-1.51059e-10,25.00061,-7.53268e-10
25.20034,-1.50597e-10,25.20061,-7.48533e-10
25.40034,-1.45954e-10,25.40066,-7.51067e-10
25.60029,-1.4882e-10,25.60061,-7.52079e-10
25.80029,-1.50211e-10,25.80061,-7.56163e-10
26.00029,-1.45899e-10,26.00061,-7.55504e-10
26.20034,-1.49886e-10,26.20066,-7.61397e-10
26.40029,-1.4892e-10,26.40061,-7.64059e-10
26.60029,-1.49527e-10,26.60066,-7.60868e-10
26.80029,-1.50578e-10,26.80066,-7.57182e-10
27.00029,-1.50252e-10,27.00061,-7.55866e-10
27.20029,-1.50022e-10,27.20061,-7.56666e-10
27.40029,-1.4492e-10,27.40061,-7.59459e-10
27.60029,-1.44506e-10,27.60066,-7.61957e-10
27.80029,-1.49016e-10,27.80061,-7.5831e-10
28.00029,-1.48547e-10,28.00061,-7.58705e-10
28.20029,-1.47122e-10,28.20061,-7.6195e-10
28.40029,-1.50398e-10,28.40061,-7.62704e-10
28.60029,-1.50097e-10,28.60061,-7.65671e-10
28.80029,-1.50411e-10,28.80061,-7.60459e-10
29.00029,-1.53322e-10,29.00061,-7.58198e-10
29.20029,-1.53052e-10,29.20061,-7.59474e-10
29.40034,-1.51953e-10,29.40061,-7.57444e-10
29.60029,-1.5438e-10,29.60066,-7.52567e-10
29.80029,-1.55066e-10,29.80061,-7.57955e-10
30.00029,-1.54784e-10,30.00061,-7.63207e-10
30.20029,-1.49653e-10,30.20061,-7.58702e-10
30.40029,-1.52953e-10,30.40061,-7.59484e-10
30.60034,-1.5568e-10,30.60061,-7.60526e-10
30.80029,-1.55224e-10,30.80061,-7.59771e-10
31.00029,-1.49751e-10,31.00066,-7.56878e-10
31.20029,-1.49142e-10,31.20066,-7.56014e-10
31.40029,-1.49688e-10,31.40061,-7.56602e-10
31.60034,-1.48312e-10,31.60061,-7.55178e-10
31.80029,-1.46853e-10,31.80061,-7.62335e-10
32.00034,-1.4784e-10,32.00066,-7.6409e-10
32.20029,-1.51111e-10,32.20061,-7.61156e-10
32.40029,-1.45291e-10,32.40061,-7.60246e-10
32.60029,-1.45271e-10,32.60066,-7.59953e-10
