Time_off,ID_off,Time_on,ID_on
0.04281,-2.27871e-10,0.02827,-6.83081e-10
0.20029,-2.22481e-10,0.20061,-6.85705e-10
0.40033,-2.33392e-10,0.40066,-6.91747e-10
0.60029,-2.15392e-10,0.60061,-7.08792e-10
0.80028,-2.15024e-10,0.80061,-7.00088e-10
1.00029,-2.17356e-10,1.00061,-7.03995e-10
1.20028,-2.235e-10,1.20066,-7.05454e-10
1.40029,-2.18428e-10,1.40061,-7.11224e-10
1.60028,-2.16875e-10,1.60061,-7.24337e-10
1.80033,-2.1958e-10,1.80061,-7.01319e-10
2.00033,-2.18966e-10,2.00061,-7.03956e-10
2.20034,-2.1603e-10,2.20061,-7.04802e-10
2.40029,-2.20711e-10,2.40066,-7.0903e-10
2.60034,-2.23236e-10,2.60061,-7.0665e-10
2.80029,-2.14416e-10,2.80061,-7.11729e-10
3.00029,-2.14701e-10,3.00061,-7.16494e-10
3.20028,-2.15067e-10,3.20061,-7.23544e-10
3.40029,-2.19483e-10,3.40061,-7.056e-10
3.60029,-2.18948e-10,3.60061,-7.12124e-10
3.80029,-2.13946e-10,3.80061,-7.2214e-10
4.00029,-2.03751e-10,4.00066,-7.16078e-10
4.20033,-2.04992e-10,4.20061,-7.23433e-10
4.40029,-2.10527e-10,4.40061,-7.10927e-10
4.60029,-2.10899e-10,4.60061,-7.17693e-10
4.80029,-2.16592e-10,4.80061,-7.08084e-10
5.00029,-2.09907e-10,5.00061,-7.19669e-10
5.20033,-2.17129e-10,5.20061,-7.22542e-10
5.40029,-2.08025e-10,5.40066,-7.25688e-10
5.60028,-2.09866e-10,5.60066,-7.1665e-10
5.80029,-2.0288e-10,5.80061,-7.33654e-10
6.00029,-2.07597e-10,6.00061,-7.29163e-10
6.20029,-2.04188e-10,6.20061,-7.21215e-10
6.40029,-2.02829e-10,6.40061,-7.25957e-10
6.60029,-2.06068e-10,6.60061,-7.17928e-10
6.80029,-2.04049e-10,6.80066,-7.2399e-10
7.00033,-2.02347e-10,7.00061,-7.18343e-10
7.20029,-2.04074e-10,7.20066,-7.32113e-10
7.40028,-2.04674e-10,7.40061,-7.3528e-10
7.60033,-2.01782e-10,7.60061,-7.37532e-10
7.80028,-2.06489e-10,7.80061,-7.3449e-10
8.00029,-2.05575e-10,8.00061,-7.27644e-10
8.20028,-2.08998e-10,8.20061,-7.34574e-10
8.40033,-1.97017e-10,8.40061,-7.23051e-10
8.60029,-2.00944e-10,8.60062,-7.42275e-10
8.80029,-1.93605e-10,8.80066,-7.41978e-10
9.00029,-2.03394e-10,9.00061,-7.36748e-10
9.20029,-2.02007e-10,9.20066,-7.4875e-10
9.40029,-1.96666e-10,9.40061,-7.31073e-10
9.60034,-1.97305e-10,9.60061,-7.37654e-10
9.80034,-1.96564e-10,9.80061,-7.34913e-10
10.00029,-1.91924e-10,10.00061,-7.53868e-10
10.20034,-1.94847e-10,10.20061,-7.58478e-10
10.40034,-1.92994e-10,10.40066,-7.54786e-10
10.60029,-1.96429e-10,10.60061,-7.55297e-10
10.80029,-1.95698e-10,10.80061,-7.49133e-10
11.00034,-1.94188e-10,11.00061,-7.48496e-10
11.20034,-2.0356e-10,11.20061,-7.51674e-10
11.40029,-1.99263e-10,11.40066,-7.57862e-10
11.60029,-2.01436e-10,11.60061,-7.44235e-10
11.80029,-1.97431e-10,11.80061,-7.54272e-10
12.00034,-1.89975e-10,12.00061,-7.4867e-10
12.20034,-1.94312e-10,12.20066,-7.48979e-10
12.40029,-1.90954e-10,12.40061,-7.40851e-10
12.60029,-1.98054e-10,12.60066,-7.48692e-10
12.80029,-1.95729e-10,12.80066,-7.67175e-10
13.00034,-1.94907e-10,13.00067,-7.60974e-10
13.20029,-1.89372e-10,13.20061,-7.57039e-10
13.40029,-1.86744e-10,13.40061,-7.5139e-10
13.60029,-1.88596e-10,13.60061,-7.60651e-10
13.80034,-1.96017e-10,13.80061,-7.53571e-10
14.00034,-1.92988e-10,14.00066,-7.621e-10
14.20029,-1.8576e-10,14.20066,-7.65474e-10
14.40029,-1.80863e-10,14.40067,-7.64254e-10
14.60029,-1.83842e-10,14.60061,-7.56556e-10
