Time_off,ID_off,Time_on,ID_on
0.04281,-2.13859e-10,0.02827,-7.13803e-10
0.20029,-2.15398e-10,0.20061,-7.14477e-10
0.40033,-2.11839e-10,0.40066,-7.10692e-10
0.60029,-2.11335e-10,0.60061,-7.20539e-10
0.80028,-2.09339e-10,0.80061,-7.24842e-10
1.00029,-2.11774e-10,1.00061,-7.2307e-10
1.20028,-2.14264e-10,1.20066,-7.20479e-10
1.40029,-2.122e-10,1.40061,-7.23586e-10
1.60028,-2.07916e-10,1.60061,-7.21989e-10
1.80033,-2.09137e-10,1.80061,-7.1943e-10
2.00033,-2.12305e-10,2.00061,-7.22287e-10
2.20034,-2.06415e-10,2.20061,-7.29769e-10
2.40029,-2.09522e-10,2.40066,-7.25699e-10
2.60034,-2.05275e-10,2.60061,-7.2522e-10
2.80029,-2.0652e-10,2.80061,-7.32803e-10
3.00029,-2.11171e-10,3.00061,-7.35892e-10
3.20028,-2.12098e-10,3.20061,-7.36589e-10
3.40029,-2.10509e-10,3.40061,-7.35741e-10
3.60029,-2.08216e-10,3.60061,-7.38266e-10
3.80029,-2.05454e-10,3.80061,-7.36199e-10
4.00029,-2.07032e-10,4.00066,-7.42803e-10
4.20033,-2.03943e-10,4.20061,-7.39427e-10
4.40029,-2.01275e-10,4.40061,-7.44365e-10
4.60029,-2.0001e-10,4.60061,-7.44058e-10
4.80029,-1.99043e-10,4.80061,-7.54224e-10
5.00029,-1.94028e-10,5.00061,-7.52431e-10
5.20033,-1.968e-10,5.20061,-7.51658e-10
5.40029,-1.98153e-10,5.40066,-7.5537e-10
5.60028,-1.96144e-10,5.60066,-7.61398e-10
5.80029,-1.95933e-10,5.80061,-7.62301e-10
6.00029,-1.99296e-10,6.00061,-7.56464e-10
6.20029,-1.9698e-10,6.20061,-7.59481e-10
6.40029,-1.98308e-10,6.40061,-7.56935e-10
6.60029,-1.95159e-10,6.60061,-7.58292e-10
6.80029,-1.91119e-10,6.80066,-7.65729e-10
7.00033,-1.90095e-10,7.00061,-7.63694e-10
7.20029,-1.91921e-10,7.20066,-7.61245e-10
7.40028,-1.94951e-10,7.40061,-7.61682e-10
7.60033,-1.90794e-10,7.60061,-7.70594e-10
7.80028,-1.92693e-10,7.80061,-7.69487e-10
8.00029,-1.93272e-10,8.00061,-7.68163e-10
8.20028,-1.88681e-10,8.20061,-7.63503e-10
8.40033,-1.88918e-10,8.40061,-7.69245e-10
8.60029,-1.91218e-10,8.60062,-7.64721e-10
8.80029,-1.90007e-10,8.80066,-7.69502e-10
9.00029,-1.89353e-10,9.00061,-7.729e-10
9.20029,-1.87524e-10,9.20066,-7.74211e-10
9.40029,-1.86943e-10,9.40061,-7.72967e-10
9.60034,-1.88028e-10,9.60061,-7.71613e-10
9.80034,-1.83191e-10,9.80061,-7.66684e-10
10.00029,-1.79891e-10,10.00061,-7.67188e-10
10.20034,-1.82775e-10,10.20061,-7.73356e-10
10.40034,-1.85183e-10,10.40066,-7.70418e-10
10.60029,-1.85641e-10,10.60061,-7.68214e-10
