Time_off,ID_off,Time_on,ID_on
0.04281,-2.16566e-10,0.02827,-7.0056e-10
0.20029,-2.16648e-10,0.20061,-7.05437e-10
0.40033,-2.17035e-10,0.40066,-6.95647e-10
0.60029,-2.13479e-10,0.60061,-7.03803e-10
0.80028,-2.13267e-10,0.80061,-7.0591e-10
1.00029,-2.12361e-10,1.00061,-7.1008e-10
1.20028,-2.16155e-10,1.20066,-7.09974e-10
1.40029,-2.12107e-10,1.40061,-7.03325e-10
1.60028,-2.10378e-10,1.60061,-7.07636e-10
1.80033,-2.06342e-10,1.80061,-7.05757e-10
2.00033,-2.07855e-10,2.00061,-7.1138e-10
2.20034,-2.15125e-10,2.20061,-7.10447e-10
2.40029,-2.11599e-10,2.40066,-7.13923e-10
2.60034,-2.11189e-10,2.60061,-7.18639e-10
2.80029,-2.12517e-10,2.80061,-7.18374e-10
3.00029,-2.13528e-10,3.00061,-7.1881e-10
3.20028,-2.12282e-10,3.20061,-7.16818e-10
3.40029,-2.08004e-10,3.40061,-7.2129e-10
3.60029,-2.06064e-10,3.60061,-7.22533e-10
3.80029,-2.01891e-10,3.80061,-7.23793e-10
4.00029,-2.04501e-10,4.00066,-7.2786e-10
4.20033,-2.03948e-10,4.20061,-7.3314e-10
4.40029,-2.03893e-10,4.40061,-7.35198e-10
4.60029,-2.05005e-10,4.60061,-7.35137e-10
4.80029,-2.01814e-10,4.80061,-7.39714e-10
5.00029,-2.07675e-10,5.00061,-7.36309e-10
5.20033,-2.02717e-10,5.20061,-7.37513e-10
5.40029,-2.01896e-10,5.40066,-7.38271e-10
5.60028,-2.02656e-10,5.60066,-7.41675e-10
5.80029,-2.0425e-10,5.80061,-7.38639e-10
6.00029,-2.04117e-10,6.00061,-7.42191e-10
6.20029,-1.98939e-10,6.20061,-7.46413e-10
6.40029,-1.98242e-10,6.40061,-7.52069e-10
6.60029,-1.97203e-10,6.60061,-7.55469e-10
6.80029,-1.94809e-10,6.80066,-7.4456e-10
7.00033,-1.91737e-10,7.00061,-7.49091e-10
7.20029,-1.90019e-10,7.20066,-7.44392e-10
7.40028,-1.92822e-10,7.40061,-7.47794e-10
7.60033,-1.92154e-10,7.60061,-7.42756e-10
7.80028,-1.91408e-10,7.80061,-7.52191e-10
8.00029,-1.94096e-10,8.00061,-7.47525e-10
8.20028,-1.91029e-10,8.20061,-7.50104e-10
8.40033,-1.93628e-10,8.40061,-7.52915e-10
8.60029,-1.90857e-10,8.60062,-7.53824e-10
8.80029,-1.89318e-10,8.80066,-7.54308e-10
9.00029,-1.92916e-10,9.00061,-7.57822e-10
