Time_off,ID_off,Time_on,ID_on
0.04281,-2.2921e-10,0.02827,-7.06539e-10
0.20029,-2.29916e-10,0.20061,-7.03771e-10
0.40033,-2.35739e-10,0.40066,-7.12429e-10
0.60029,-2.32625e-10,0.60061,-7.20204e-10
0.80028,-2.3792e-10,0.80061,-7.18716e-10
1.00029,-2.32832e-10,1.00061,-7.21887e-10
1.20028,-2.35678e-10,1.20066,-7.16166e-10
1.40029,-2.3478e-10,1.40061,-7.29977e-10
1.60028,-2.38194e-10,1.60061,-7.19863e-10
1.80033,-2.28125e-10,1.80061,-7.18124e-10
2.00033,-2.32904e-10,2.00061,-7.07865e-10
2.20034,-2.31803e-10,2.20061,-7.08894e-10
2.40029,-2.26743e-10,2.40066,-7.04399e-10
2.60034,-2.33938e-10,2.60061,-7.26894e-10
2.80029,-2.39167e-10,2.80061,-7.31801e-10
3.00029,-2.36346e-10,3.00061,-7.2252e-10
3.20028,-2.31607e-10,3.20061,-7.32841e-10
3.40029,-2.26971e-10,3.40061,-7.30327e-10
3.60029,-2.29745e-10,3.60061,-7.23772e-10
3.80029,-2.27576e-10,3.80061,-7.30423e-10
4.00029,-2.22121e-10,4.00066,-7.34146e-10
4.20033,-2.25326e-10,4.20061,-7.37927e-10
4.40029,-2.23981e-10,4.40061,-7.35428e-10
4.60029,-2.25664e-10,4.60061,-7.51124e-10
4.80029,-2.20074e-10,4.80061,-7.36357e-10
5.00029,-2.28919e-10,5.00061,-7.42363e-10
5.20033,-2.25852e-10,5.20061,-7.40766e-10
5.40029,-2.28116e-10,5.40066,-7.48556e-10
5.60028,-2.27364e-10,5.60066,-7.41642e-10
5.80029,-2.19005e-10,5.80061,-7.41325e-10
6.00029,-2.16086e-10,6.00061,-7.47523e-10
6.20029,-2.23616e-10,6.20061,-7.57847e-10
6.40029,-2.2373e-10,6.40061,-7.6579e-10
6.60029,-2.21513e-10,6.60061,-7.59187e-10
6.80029,-2.24755e-10,6.80066,-7.5372e-10
7.00033,-2.15305e-10,7.00061,-7.58189e-10
7.20029,-2.12234e-10,7.20066,-7.51069e-10
7.40028,-2.14087e-10,7.40061,-7.45228e-10
7.60033,-2.17097e-10,7.60061,-7.71228e-10
7.80028,-2.17559e-10,7.80061,-7.7346e-10
8.00029,-2.15029e-10,8.00061,-7.6816e-10
8.20028,-2.14917e-10,8.20061,-7.57961e-10
8.40033,-2.16624e-10,8.40061,-7.58151e-10
8.60029,-2.12792e-10,8.60062,-7.66766e-10
8.80029,-2.11886e-10,8.80066,-7.64828e-10
9.00029,-2.16121e-10,9.00061,-7.62334e-10
9.20029,-2.13054e-10,9.20066,-7.70363e-10
9.40029,-2.07555e-10,9.40061,-7.63589e-10
9.60034,-2.09905e-10,9.60061,-7.61336e-10
9.80034,-2.11185e-10,9.80061,-7.81318e-10
10.00029,-2.10141e-10,10.00061,-7.66466e-10
10.20034,-2.12082e-10,10.20061,-7.65424e-10
10.40034,-2.08656e-10,10.40066,-7.8582e-10
10.60029,-2.06329e-10,10.60061,-7.78286e-10
10.80029,-2.00791e-10,10.80061,-7.71735e-10
11.00034,-2.06386e-10,11.00061,-7.70267e-10
11.20034,-2.11766e-10,11.20061,-7.85721e-10
11.40029,-2.04298e-10,11.40066,-7.66868e-10
11.60029,-2.10205e-10,11.60061,-7.73805e-10
11.80029,-2.08356e-10,11.80061,-7.67873e-10
12.00034,-2.05627e-10,12.00061,-7.71e-10
12.20034,-2.02954e-10,12.20066,-7.73619e-10
12.40029,-2.0261e-10,12.40061,-7.71309e-10
12.60029,-2.07136e-10,12.60066,-7.68796e-10
12.80029,-2.01363e-10,12.80066,-7.6907e-10
13.00034,-2.11521e-10,13.00067,-7.71837e-10
13.20029,-2.06603e-10,13.20061,-7.68702e-10
13.40029,-1.99873e-10,13.40061,-7.70613e-10
13.60029,-2.00331e-10,13.60061,-7.80918e-10
13.80034,-2.05965e-10,13.80061,-7.62909e-10
14.00034,-2.03624e-10,14.00066,-7.69167e-10
14.20029,-2.00446e-10,14.20066,-7.71206e-10
14.40029,-2.03862e-10,14.40067,-7.69014e-10
14.60029,-2.08767e-10,14.60061,-7.73209e-10
14.80029,-2.00343e-10,14.80066,-7.85812e-10
15.00029,-2.00977e-10,15.00061,-7.821e-10
15.20029,-1.96904e-10,15.20062,-7.72318e-10
15.40029,-1.98615e-10,15.40061,-7.87164e-10
15.60029,-1.96851e-10,15.60062,-7.85762e-10
15.80034,-2.05172e-10,15.80066,-7.70498e-10
16.00034,-1.97173e-10,16.00061,-7.64101e-10
16.20029,-1.97726e-10,16.20061,-7.84577e-10
16.40029,-2.02491e-10,16.40061,-7.81673e-10
16.60029,-2.0047e-10,16.60066,-7.8047e-10
16.80034,-1.9453e-10,16.80061,-7.74423e-10
17.00029,-2.02113e-10,17.00066,-7.76353e-10
17.20029,-2.00617e-10,17.20061,-7.77604e-10
17.40034,-2.0312e-10,17.40061,-7.80151e-10
17.60029,-2.00661e-10,17.60066,-7.67039e-10
17.80029,-2.01031e-10,17.80061,-7.82519e-10
18.00029,-2.00645e-10,18.00067,-7.79414e-10
18.20034,-1.97972e-10,18.20066,-7.6928e-10
18.40029,-1.98055e-10,18.40061,-7.83336e-10
18.60029,-1.95203e-10,18.60061,-7.85672e-10
18.80034,-1.9768e-10,18.80061,-7.83654e-10
19.00029,-2.01048e-10,19.00066,-7.85574e-10
19.20029,-1.93413e-10,19.20066,-7.704e-10
19.40029,-1.90017e-10,19.40061,-7.87126e-10
19.60029,-1.98518e-10,19.60061,-7.86599e-10
