Time_off,ID_off,Time_on,ID_on
0.04281,-2.04141e-10,0.02827,-7.29701e-10
0.20029,-2.04046e-10,0.20061,-7.25907e-10
0.40033,-2.06114e-10,0.40066,-7.33798e-10
0.60029,-2.02405e-10,0.60061,-7.4323e-10
0.80028,-2.01573e-10,0.80061,-7.43e-10
1.00029,-2.03231e-10,1.00061,-7.43776e-10
1.20028,-2.04366e-10,1.20066,-7.39657e-10
1.40029,-2.00482e-10,1.40061,-7.40489e-10
1.60028,-2.01123e-10,1.60061,-7.44118e-10
1.80033,-1.97739e-10,1.80061,-7.478e-10
2.00033,-2.01365e-10,2.00061,-7.47286e-10
2.20034,-2.0367e-10,2.20061,-7.43473e-10
2.40029,-2.01935e-10,2.40066,-7.4873e-10
2.60034,-2.01301e-10,2.60061,-7.47899e-10
2.80029,-2.015e-10,2.80061,-7.51263e-10
3.00029,-2.01258e-10,3.00061,-7.49384e-10
3.20028,-1.9667e-10,3.20061,-7.49589e-10
3.40029,-2.00345e-10,3.40061,-7.52077e-10
3.60029,-2.03789e-10,3.60061,-7.57458e-10
3.80029,-1.99296e-10,3.80061,-7.64511e-10
4.00029,-1.9851e-10,4.00066,-7.63376e-10
4.20033,-1.98506e-10,4.20061,-7.65424e-10
4.40029,-1.98749e-10,4.40061,-7.69014e-10
4.60029,-1.9482e-10,4.60061,-7.70198e-10
4.80029,-1.94851e-10,4.80061,-7.75192e-10
5.00029,-1.93152e-10,5.00061,-7.74838e-10
5.20033,-1.89985e-10,5.20061,-7.73241e-10
5.40029,-1.91661e-10,5.40066,-7.72828e-10
5.60028,-1.92035e-10,5.60066,-7.68136e-10
5.80029,-1.94766e-10,5.80061,-7.70803e-10
6.00029,-1.91767e-10,6.00061,-7.75963e-10
6.20029,-1.87727e-10,6.20061,-7.77413e-10
6.40029,-1.88607e-10,6.40061,-7.83638e-10
6.60029,-1.8712e-10,6.60061,-7.84227e-10
6.80029,-1.85924e-10,6.80066,-7.84478e-10
7.00033,-1.87402e-10,7.00061,-7.88508e-10
7.20029,-1.87551e-10,7.20066,-7.8422e-10
7.40028,-1.83994e-10,7.40061,-7.85508e-10
7.60033,-1.88946e-10,7.60061,-7.8724e-10
7.80028,-1.90243e-10,7.80061,-7.86132e-10
8.00029,-1.91097e-10,8.00061,-7.85874e-10
8.20028,-1.84723e-10,8.20061,-7.90736e-10
8.40033,-1.81985e-10,8.40061,-7.90805e-10
8.60029,-1.84076e-10,8.60062,-7.94373e-10
8.80029,-1.83198e-10,8.80066,-7.94135e-10
9.00029,-1.76117e-10,9.00061,-7.94804e-10
9.20029,-1.81375e-10,9.20066,-7.90139e-10
9.40029,-1.79067e-10,9.40061,-7.911e-10
9.60034,-1.85632e-10,9.60061,-7.95742e-10
9.80034,-1.81118e-10,9.80061,-7.95505e-10
10.00029,-1.72941e-10,10.00061,-7.98777e-10
10.20034,-1.7492e-10,10.20061,-7.96189e-10
10.40034,-1.75856e-10,10.40066,-7.95577e-10
10.60029,-1.74387e-10,10.60061,-7.96836e-10
10.80029,-1.73372e-10,10.80061,-8.00202e-10
11.00034,-1.73043e-10,11.00061,-7.99638e-10
11.20034,-1.78039e-10,11.20061,-7.95619e-10
11.40029,-1.78129e-10,11.40066,-7.96201e-10
11.60029,-1.75154e-10,11.60061,-8.02061e-10
11.80029,-1.70452e-10,11.80061,-8.01549e-10
12.00034,-1.74003e-10,12.00061,-7.98615e-10
12.20034,-1.74698e-10,12.20066,-7.97835e-10
12.40029,-1.72207e-10,12.40061,-7.97655e-10
12.60029,-1.7167e-10,12.60066,-7.99701e-10
12.80029,-1.73133e-10,12.80066,-7.93692e-10
13.00034,-1.72175e-10,13.00067,-7.99415e-10
13.20029,-1.70651e-10,13.20061,-8.02656e-10
13.40029,-1.7167e-10,13.40061,-7.97035e-10
13.60029,-1.75203e-10,13.60061,-8.00142e-10
13.80034,-1.73536e-10,13.80061,-8.01691e-10
14.00034,-1.73271e-10,14.00066,-8.02143e-10
14.20029,-1.70527e-10,14.20066,-8.02459e-10
14.40029,-1.76344e-10,14.40067,-8.00258e-10
14.60029,-1.74125e-10,14.60061,-8.00045e-10
14.80029,-1.70675e-10,14.80066,-7.96923e-10
15.00029,-1.66625e-10,15.00061,-8.01506e-10
15.20029,-1.68297e-10,15.20062,-8.03269e-10
15.40029,-1.66744e-10,15.40061,-8.00999e-10
15.60029,-1.67686e-10,15.60062,-8.04406e-10
15.80034,-1.70685e-10,15.80066,-8.04994e-10
16.00034,-1.68706e-10,16.00061,-8.03158e-10
16.20029,-1.69844e-10,16.20061,-8.01652e-10
16.40029,-1.69693e-10,16.40061,-7.98016e-10
16.60029,-1.70704e-10,16.60066,-8.00065e-10
16.80034,-1.70995e-10,16.80061,-8.01313e-10
17.00029,-1.68768e-10,17.00066,-8.03415e-10
17.20029,-1.67141e-10,17.20061,-8.03637e-10
17.40034,-1.68632e-10,17.40061,-8.09564e-10
17.60029,-1.64788e-10,17.60066,-8.06977e-10
17.80029,-1.6834e-10,17.80061,-8.0967e-10
18.00029,-1.62397e-10,18.00067,-8.03003e-10
18.20034,-1.61649e-10,18.20066,-8.01783e-10
18.40029,-1.62612e-10,18.40061,-8.07803e-10
18.60029,-1.62896e-10,18.60061,-8.07749e-10
18.80034,-1.62801e-10,18.80061,-8.06921e-10
19.00029,-1.6291e-10,19.00066,-8.06013e-10
19.20029,-1.60504e-10,19.20066,-8.07501e-10
19.40029,-1.61142e-10,19.40061,-8.03109e-10
19.60029,-1.61909e-10,19.60061,-8.06221e-10
19.80029,-1.6487e-10,19.80066,-8.07288e-10
20.00029,-1.62943e-10,20.00061,-8.04342e-10
20.20029,-1.68491e-10,20.20061,-8.07986e-10
20.40029,-1.61464e-10,20.40066,-8.09937e-10
20.60034,-1.63097e-10,20.60061,-8.06118e-10
20.80029,-1.6525e-10,20.80061,-8.07389e-10
21.00029,-1.69273e-10,21.00061,-8.06365e-10
21.20034,-1.65508e-10,21.20061,-8.04583e-10
21.40029,-1.64415e-10,21.40061,-8.02213e-10
21.60034,-1.65622e-10,21.60061,-8.07889e-10
21.80029,-1.65222e-10,21.80061,-8.09641e-10
22.00029,-1.6048e-10,22.00066,-8.11967e-10
