Time_off,ID_off,Time_on,ID_on
0.04281,-2.25934e-10,0.02827,-6.91537e-10
0.20029,-2.30269e-10,0.20061,-6.93323e-10
0.40033,-2.22017e-10,0.40066,-6.97935e-10
0.60029,-2.28593e-10,0.60061,-7.06489e-10
0.80028,-2.20609e-10,0.80061,-7.04348e-10
1.00029,-2.31092e-10,1.00061,-6.96868e-10
1.20028,-2.15894e-10,1.20066,-7.07781e-10
1.40029,-2.22519e-10,1.40061,-6.93639e-10
1.60028,-2.32094e-10,1.60061,-6.9922e-10
1.80033,-2.26046e-10,1.80061,-7.16476e-10
2.00033,-2.24872e-10,2.00061,-6.99121e-10
2.20034,-2.21922e-10,2.20061,-7.02248e-10
2.40029,-2.20344e-10,2.40066,-7.05699e-10
2.60034,-2.1992e-10,2.60061,-7.05657e-10
2.80029,-2.19047e-10,2.80061,-6.98544e-10
3.00029,-2.20746e-10,3.00061,-7.17573e-10
3.20028,-2.23273e-10,3.20061,-7.11162e-10
3.40029,-2.24357e-10,3.40061,-7.14692e-10
3.60029,-2.15671e-10,3.60061,-7.18929e-10
3.80029,-2.18477e-10,3.80061,-7.23909e-10
4.00029,-2.16095e-10,4.00066,-7.2773e-10
4.20033,-2.1622e-10,4.20061,-7.27584e-10
4.40029,-2.23535e-10,4.40061,-7.30449e-10
4.60029,-2.12904e-10,4.60061,-7.34747e-10
4.80029,-2.15478e-10,4.80061,-7.4331e-10
5.00029,-2.16219e-10,5.00061,-7.24459e-10
5.20033,-2.20298e-10,5.20061,-7.28071e-10
5.40029,-2.15348e-10,5.40066,-7.21354e-10
5.60028,-2.07216e-10,5.60066,-7.2453e-10
5.80029,-2.07383e-10,5.80061,-7.40388e-10
6.00029,-2.04761e-10,6.00061,-7.3861e-10
6.20029,-2.12746e-10,6.20061,-7.36838e-10
6.40029,-2.08267e-10,6.40061,-7.41739e-10
6.60029,-2.05646e-10,6.60061,-7.38772e-10
6.80029,-2.06722e-10,6.80066,-7.41294e-10
7.00033,-2.05905e-10,7.00061,-7.40104e-10
7.20029,-2.09563e-10,7.20066,-7.52281e-10
7.40028,-1.99182e-10,7.40061,-7.49732e-10
7.60033,-2.07203e-10,7.60061,-7.43468e-10
7.80028,-2.07713e-10,7.80061,-7.39537e-10
8.00029,-2.08928e-10,8.00061,-7.47274e-10
8.20028,-1.99424e-10,8.20061,-7.35098e-10
8.40033,-1.99348e-10,8.40061,-7.44089e-10
8.60029,-2.03183e-10,8.60062,-7.4204e-10
8.80029,-2.02338e-10,8.80066,-7.43057e-10
9.00029,-2.02462e-10,9.00061,-7.49737e-10
9.20029,-2.12154e-10,9.20066,-7.60217e-10
9.40029,-2.09825e-10,9.40061,-7.5879e-10
9.60034,-2.02507e-10,9.60061,-7.54104e-10
9.80034,-2.00877e-10,9.80061,-7.45999e-10
10.00029,-1.91886e-10,10.00061,-7.47547e-10
10.20034,-1.94643e-10,10.20061,-7.48889e-10
10.40034,-1.99301e-10,10.40066,-7.53206e-10
10.60029,-2.02813e-10,10.60061,-7.58109e-10
10.80029,-1.98419e-10,10.80061,-7.58598e-10
11.00034,-2.03143e-10,11.00061,-7.63867e-10
11.20034,-2.06435e-10,11.20061,-7.51501e-10
11.40029,-1.95962e-10,11.40066,-7.4012e-10
11.60029,-1.92552e-10,11.60061,-7.59267e-10
11.80029,-1.91714e-10,11.80061,-7.70571e-10
12.00034,-1.93799e-10,12.00061,-7.63671e-10
12.20034,-1.88231e-10,12.20066,-7.6418e-10
12.40029,-1.91767e-10,12.40061,-7.65865e-10
12.60029,-1.92311e-10,12.60066,-7.57379e-10
12.80029,-1.91644e-10,12.80066,-7.66497e-10
13.00034,-1.96895e-10,13.00067,-7.63817e-10
13.20029,-1.95915e-10,13.20061,-7.70059e-10
13.40029,-1.96914e-10,13.40061,-7.66911e-10
13.60029,-1.93306e-10,13.60061,-7.57012e-10
13.80034,-1.88142e-10,13.80061,-7.51729e-10
14.00034,-2.00234e-10,14.00066,-7.63814e-10
14.20029,-1.90892e-10,14.20066,-7.45595e-10
14.40029,-1.99886e-10,14.40067,-7.46603e-10
14.60029,-1.98559e-10,14.60061,-7.5183e-10
14.80029,-1.90753e-10,14.80066,-7.64669e-10
15.00029,-1.94841e-10,15.00061,-7.56572e-10
15.20029,-1.88228e-10,15.20062,-7.55021e-10
15.40029,-1.93149e-10,15.40061,-7.65019e-10
15.60029,-1.85515e-10,15.60062,-7.63164e-10
15.80034,-1.95077e-10,15.80066,-7.60801e-10
16.00034,-1.89162e-10,16.00061,-7.62816e-10
16.20029,-1.90932e-10,16.20061,-7.6355e-10
16.40029,-1.82626e-10,16.40061,-7.58676e-10
16.60029,-1.82416e-10,16.60066,-7.46832e-10
16.80034,-1.82274e-10,16.80061,-7.56941e-10
17.00029,-1.88225e-10,17.00066,-7.65175e-10
17.20029,-1.9318e-10,17.20061,-7.62806e-10
17.40034,-1.87169e-10,17.40061,-7.54292e-10
17.60029,-1.87903e-10,17.60066,-7.43927e-10
17.80029,-1.85376e-10,17.80061,-7.47686e-10
18.00029,-1.79251e-10,18.00067,-7.66922e-10
18.20034,-1.83027e-10,18.20066,-7.62319e-10
18.40029,-1.91056e-10,18.40061,-7.58514e-10
18.60029,-1.89396e-10,18.60061,-7.49641e-10
18.80034,-1.91909e-10,18.80061,-7.56056e-10
19.00029,-1.85491e-10,19.00066,-7.61599e-10
19.20029,-1.86572e-10,19.20066,-7.53129e-10
19.40029,-1.87467e-10,19.40061,-7.58374e-10
19.60029,-1.89882e-10,19.60061,-7.68976e-10
19.80029,-1.85611e-10,19.80066,-7.51892e-10
20.00029,-1.8322e-10,20.00061,-7.68903e-10
20.20029,-1.84493e-10,20.20061,-7.65238e-10
20.40029,-1.91171e-10,20.40066,-7.58541e-10
20.60034,-1.91908e-10,20.60061,-7.59581e-10
20.80029,-1.89813e-10,20.80061,-7.53109e-10
21.00029,-1.83942e-10,21.00061,-7.68172e-10
21.20034,-1.90496e-10,21.20061,-7.56559e-10
21.40029,-1.85878e-10,21.40061,-7.57461e-10
21.60034,-1.85355e-10,21.60061,-7.76747e-10
21.80029,-1.92493e-10,21.80061,-7.68373e-10
22.00029,-1.8719e-10,22.00066,-7.57608e-10
22.20029,-1.92143e-10,22.20061,-7.53263e-10
22.40034,-1.92915e-10,22.40061,-7.64168e-10
22.60029,-1.8169e-10,22.60061,-7.53778e-10
22.80029,-1.90126e-10,22.80061,-7.61731e-10
23.00029,-1.93566e-10,23.00061,-7.57773e-10
23.20029,-1.96098e-10,23.20066,-7.64537e-10
23.40034,-1.88278e-10,23.40061,-7.65542e-10
23.60034,-1.99855e-10,23.60061,-7.74993e-10
23.80029,-1.96147e-10,23.80066,-7.6921e-10
24.00034,-1.83732e-10,24.00061,-7.60035e-10
24.20029,-1.80371e-10,24.20066,-7.58097e-10
24.40029,-1.89169e-10,24.40061,-7.68062e-10
24.60029,-1.89471e-10,24.60066,-7.64644e-10
24.80034,-1.81865e-10,24.80061,-7.64329e-10
