Time_off,ID_off,Time_on,ID_on
0.04281,-2.31418e-10,0.02827,-7.04191e-10
0.20029,-2.30061e-10,0.20061,-7.11032e-10
0.40033,-2.30633e-10,0.40066,-7.02598e-10
0.60029,-2.30791e-10,0.60061,-7.13338e-10
0.80028,-2.2544e-10,0.80061,-7.08603e-10
1.00029,-2.31666e-10,1.00061,-7.18573e-10
1.20028,-2.31117e-10,1.20066,-7.16527e-10
1.40029,-2.32236e-10,1.40061,-7.20776e-10
1.60028,-2.29755e-10,1.60061,-7.24013e-10
1.80033,-2.28691e-10,1.80061,-7.2155e-10
2.00033,-2.30798e-10,2.00061,-7.24607e-10
2.20034,-2.26217e-10,2.20061,-7.29012e-10
2.40029,-2.27207e-10,2.40066,-7.23008e-10
2.60034,-2.29456e-10,2.60061,-7.28391e-10
2.80029,-2.26851e-10,2.80061,-7.26924e-10
3.00029,-2.26396e-10,3.00061,-7.23056e-10
3.20028,-2.23164e-10,3.20061,-7.2733e-10
3.40029,-2.24887e-10,3.40061,-7.28571e-10
3.60029,-2.2354e-10,3.60061,-7.27612e-10
3.80029,-2.22496e-10,3.80061,-7.31922e-10
4.00029,-2.2244e-10,4.00066,-7.37027e-10
4.20033,-2.23291e-10,4.20061,-7.3232e-10
4.40029,-2.21343e-10,4.40061,-7.4632e-10
4.60029,-2.19001e-10,4.60061,-7.44771e-10
4.80029,-2.22775e-10,4.80061,-7.39966e-10
5.00029,-2.20627e-10,5.00061,-7.36214e-10
5.20033,-2.21629e-10,5.20061,-7.49374e-10
5.40029,-2.20335e-10,5.40066,-7.51217e-10
5.60028,-2.20048e-10,5.60066,-7.54104e-10
5.80029,-2.18755e-10,5.80061,-7.55607e-10
6.00029,-2.15658e-10,6.00061,-7.54861e-10
6.20029,-2.18581e-10,6.20061,-7.63864e-10
6.40029,-2.15483e-10,6.40061,-7.61935e-10
6.60029,-2.16443e-10,6.60061,-7.5365e-10
6.80029,-2.15247e-10,6.80066,-7.5805e-10
7.00033,-2.12756e-10,7.00061,-7.56383e-10
7.20029,-2.1244e-10,7.20066,-7.67182e-10
7.40028,-2.12029e-10,7.40061,-7.70072e-10
7.60033,-2.1181e-10,7.60061,-7.61948e-10
7.80028,-2.07358e-10,7.80061,-7.5496e-10
8.00029,-2.12315e-10,8.00061,-7.64759e-10
8.20028,-2.12184e-10,8.20061,-7.62336e-10
8.40033,-2.11266e-10,8.40061,-7.70162e-10
